title,description,tags,difficulty,hint
Valid Anagram,"Given two strings s and t, return true if t is an anagram of s, and false otherwise.

Input: s = ""anagram"", t = ""nagaram""
Output: true

Constraints:
- 1 <= s.length, t.length <= 5 * 10^4
- s and t consist of lowercase English letters","Hash Table, String, Sorting",EASY,Build a frequency count array of 26 characters for both strings and compare them for equality.
Longest Consecutive Sequence,"Given an unsorted array of integers nums, return the length of the longest consecutive elements sequence. You must write an algorithm that runs in O(n) time.

Input: nums = [100,4,200,1,3,2]
Output: 4
Explanation: The longest consecutive sequence is [1,2,3,4].

Constraints:
- 0 <= nums.length <= 10^5
- -10^9 <= nums[i] <= 10^9","Array, Hash Table, Union Find",MEDIUM,"Insert all numbers into a hash set, then for each number that is the start of a sequence (num-1 not in set), count consecutive numbers forward."
Top K Frequent Elements,"Given an integer array nums and an integer k, return the k most frequent elements. You may return the answer in any order.

Input: nums = [1,1,1,2,2,3], k = 2
Output: [1,2]

Constraints:
- 1 <= nums.length <= 10^5
- -10^4 <= nums[i] <= 10^4
- k is in the range [1, number of unique elements]","Array, Hash Table, Heap, Sorting",MEDIUM,"Use a hash map to count frequencies, then use a min-heap of size k to extract the k most frequent elements in O(n log k) time."
Isomorphic Strings,"Given two strings s and t, determine if they are isomorphic. Two strings are isomorphic if the characters in s can be replaced to get t with a one-to-one mapping.

Input: s = ""egg"", t = ""add""
Output: true

Constraints:
- 1 <= s.length <= 5 * 10^4
- t.length == s.length","Hash Table, String",EASY,"Use two hash maps to maintain a bidirectional character mapping between s and t, verifying consistency at each position."
Word Pattern,"Given a pattern and a string s, find if s follows the same pattern. Here follow means a full match such that there is a bijection between a letter in pattern and a non-empty word in s.

Input: pattern = ""abba"", s = ""dog cat cat dog""
Output: true

Constraints:
- 1 <= pattern.length <= 300
- pattern contains only lowercase English letters
- 1 <= s.length <= 3000","Hash Table, String",EASY,"Use two hash maps for bidirectional mapping between pattern characters and words, checking consistency at each position."
Subarray Sum Equals K,"Given an array of integers nums and an integer k, return the total number of subarrays whose sum equals to k.

Input: nums = [1,1,1], k = 2
Output: 2

Constraints:
- 1 <= nums.length <= 2 * 10^4
- -1000 <= nums[i] <= 1000
- -10^7 <= k <= 10^7","Array, Hash Table, Prefix Sum",MEDIUM,"Use a hash map to store prefix sum frequencies; for each prefix sum, check how many times (current_prefix_sum - k) has occurred."
First Unique Character in a String,"Given a string s, find the first non-repeating character in it and return its index. If it does not exist, return -1.

Input: s = ""leetcode""
Output: 0

Constraints:
- 1 <= s.length <= 10^5
- s consists of only lowercase English letters","Hash Table, String, Queue",EASY,"Build a frequency map of all characters in one pass, then scan the string again to find the first character with count 1."
Intersection of Two Arrays II,"Given two integer arrays nums1 and nums2, return an array of their intersection. Each element in the result must appear as many times as it shows in both arrays.

Input: nums1 = [1,2,2,1], nums2 = [2,2]
Output: [2,2]

Constraints:
- 1 <= nums1.length, nums2.length <= 1000
- 0 <= nums1[i], nums2[i] <= 1000","Array, Hash Table, Sorting, Two Pointers",EASY,"Use a hash map to count occurrences in the smaller array, then iterate through the larger array decrementing counts to find common elements."
Longest Palindromic Substring,"Given a string s, return the longest palindromic substring in s.

Input: s = ""babad""
Output: ""bab"" (or ""aba"")

Constraints:
- 1 <= s.length <= 1000
- s consists of only digits and English letters","String, Dynamic Programming, Two Pointers",MEDIUM,"Expand around each character (and each pair of characters) as potential centers of a palindrome, tracking the longest found."
Valid Palindrome,"A phrase is a palindrome if, after converting all uppercase letters into lowercase letters and removing all non-alphanumeric characters, it reads the same forward and backward.

Input: s = ""A man, a plan, a canal: Panama""
Output: true

Constraints:
- 1 <= s.length <= 2 * 10^5
- s consists only of printable ASCII characters","String, Two Pointers",EASY,"Use two pointers from both ends, skipping non-alphanumeric characters and comparing lowercase versions."
Longest Common Prefix,"Write a function to find the longest common prefix string amongst an array of strings. If there is no common prefix, return an empty string.

Input: strs = [""flower"",""flow"",""flight""]
Output: ""fl""

Constraints:
- 1 <= strs.length <= 200
- 0 <= strs[i].length <= 200","String, Trie",EASY,"Compare characters at each position across all strings simultaneously, stopping at the first mismatch."
String to Integer (atoi),"Implement the myAtoi function which converts a string to a 32-bit signed integer. Read and ignore leading whitespace, determine sign, read digits until non-digit or end, clamp to INT range.

Input: s = ""   -42""
Output: -42

Constraints:
- 0 <= s.length <= 200
- s consists of English letters, digits, spaces, '+', '-', '.'","String, Math",MEDIUM,"Process the string sequentially: skip whitespace, detect sign, accumulate digits while checking for 32-bit integer overflow at each step."
Reverse String,"Write a function that reverses a string in-place. The input is given as an array of characters.

Input: s = [""h"",""e"",""l"",""l"",""o""]
Output: [""o"",""l"",""l"",""e"",""h""]

Constraints:
- 1 <= s.length <= 10^5
- s[i] is a printable ASCII character","String, Two Pointers",EASY,"Use two pointers at both ends of the array, swapping characters and moving inward until they meet."
Reverse Words in a String,"Given an input string s, reverse the order of the words. A word is defined as a sequence of non-space characters.

Input: s = ""the sky is blue""
Output: ""blue is sky the""

Constraints:
- 1 <= s.length <= 10^4
- s contains English letters, digits, and spaces","String, Two Pointers",MEDIUM,"Split the string by spaces, filter empty strings, then reverse the resulting list and join with single spaces."
Zigzag Conversion,"The string is written in a zigzag pattern on a given number of rows. Write the code that will take a string and make this conversion.

Input: s = ""PAYPALISHIRING"", numRows = 3
Output: ""PAHNAPLSIIGYIR""

Constraints:
- 1 <= s.length <= 1000
- 1 <= numRows <= 1000",String,MEDIUM,"Simulate the zigzag by maintaining an array of strings for each row, toggling direction at the top and bottom rows."
Count and Say,"The count-and-say sequence is a sequence of digit strings defined by the recursive formula. countAndSay(1) = ""1"", countAndSay(n) is the run-length encoding of countAndSay(n-1).

Input: n = 4
Output: ""1211""

Constraints:
- 1 <= n <= 30","String, Recursion",MEDIUM,"Iteratively build each term by run-length encoding the previous term, counting consecutive identical digits."
Implement strStr,"Return the index of the first occurrence of needle in haystack, or -1 if needle is not part of haystack.

Input: haystack = ""sadbutsad"", needle = ""sad""
Output: 0

Constraints:
- 1 <= haystack.length, needle.length <= 10^4","String, Two Pointers",EASY,Use the KMP algorithm with a failure function array to avoid redundant character comparisons in the haystack.
Three Sum,"Given an integer array nums, return all the triplets [nums[i], nums[j], nums[k]] such that i != j != k and nums[i] + nums[j] + nums[k] == 0.

Input: nums = [-1,0,1,2,-1,-4]
Output: [[-1,-1,2],[-1,0,1]]

Constraints:
- 3 <= nums.length <= 3000
- -10^5 <= nums[i] <= 10^5","Array, Two Pointers, Sorting",MEDIUM,"Sort the array, fix one element, then use two pointers on the remaining portion to find pairs that sum to the negative of the fixed element."
Container With Most Water,"Given n non-negative integers representing an elevation map where the width of each bar is 1, find two lines that together with the x-axis form a container that holds the most water.

Input: height = [1,8,6,2,5,4,8,3,7]
Output: 49

Constraints:
- n == height.length
- 2 <= n <= 10^5
- 0 <= height[i] <= 10^4","Array, Two Pointers, Greedy",MEDIUM,"Use two pointers at both ends, always moving the pointer with the shorter height inward while tracking the maximum area."
Trapping Rain Water,"Given n non-negative integers representing an elevation map where the width of each bar is 1, compute how much water it can trap after raining.

Input: height = [0,1,0,2,1,0,1,3,2,1,2,1]
Output: 6

Constraints:
- n == height.length
- 1 <= n <= 2 * 10^4
- 0 <= height[i] <= 10^5","Array, Two Pointers, Dynamic Programming, Stack",HARD,"Use two pointers from both ends, maintaining left_max and right_max; water at each position equals min(left_max, right_max) minus the height."
Remove Duplicates from Sorted Array,"Given an integer array nums sorted in non-decreasing order, remove the duplicates in-place such that each unique element appears only once. Return the number of unique elements.

Input: nums = [1,1,2]
Output: 2, nums = [1,2,_]

Constraints:
- 1 <= nums.length <= 3 * 10^4
- -100 <= nums[i] <= 100
- nums is sorted in non-decreasing order","Array, Two Pointers",EASY,"Use a slow pointer to track the position of the last unique element, only advancing it when the fast pointer finds a new value."
Sort Colors,"Given an array nums with n objects colored red (0), white (1), and blue (2), sort them in-place so that objects of the same color are adjacent, in the order red, white, and blue.

Input: nums = [2,0,2,1,1,0]
Output: [0,0,1,1,2,2]

Constraints:
- n == nums.length
- 1 <= n <= 300
- nums[i] is 0, 1, or 2","Array, Two Pointers, Sorting",MEDIUM,"Use the Dutch National Flag algorithm with three pointers (low, mid, high) to partition elements into three groups in a single pass."
Squares of a Sorted Array,"Given an integer array nums sorted in non-decreasing order, return an array of the squares of each number sorted in non-decreasing order.

Input: nums = [-4,-1,0,3,10]
Output: [0,1,9,16,100]

Constraints:
- 1 <= nums.length <= 10^4
- -10^4 <= nums[i] <= 10^4
- nums is sorted in non-decreasing order","Array, Two Pointers, Sorting",EASY,"Use two pointers at both ends comparing absolute values, filling the result array from the largest position backward."
Boats to Save People,"You are given an array people where people[i] is the weight of the ith person, and an infinite number of boats that each carry at most limit weight. Each boat carries at most two people. Return the minimum number of boats.

Input: people = [3,2,2,1], limit = 3
Output: 3

Constraints:
- 1 <= people.length <= 5 * 10^4
- 1 <= people[i] <= limit <= 3 * 10^4","Array, Two Pointers, Greedy, Sorting",MEDIUM,"Sort the array, then use two pointers from both ends pairing the heaviest with the lightest person if their sum fits within the limit."
Longest Substring Without Repeating Characters,"Given a string s, find the length of the longest substring without repeating characters.

Input: s = ""abcabcbb""
Output: 3
Explanation: The answer is ""abc"".

Constraints:
- 0 <= s.length <= 5 * 10^4
- s consists of English letters, digits, symbols and spaces","Hash Table, String, Sliding Window",MEDIUM,"Use a sliding window with a hash set, expanding the right pointer and shrinking the left whenever a duplicate is found."
Minimum Window Substring,"Given two strings s and t, return the minimum window substring of s such that every character in t (including duplicates) is included in the window.

Input: s = ""ADOBECODEBANC"", t = ""ABC""
Output: ""BANC""

Constraints:
- 1 <= s.length, t.length <= 10^5
- s and t consist of uppercase and lowercase English letters","Hash Table, String, Sliding Window",HARD,"Use a sliding window with two frequency maps: expand right to include all required characters, then shrink left to find the minimum valid window."
Sliding Window Maximum,"Given an array nums and a sliding window of size k moving from left to right, return the max value in each window position.

Input: nums = [1,3,-1,-3,5,3,6,7], k = 3
Output: [3,3,5,5,6,7]

Constraints:
- 1 <= nums.length <= 10^5
- -10^4 <= nums[i] <= 10^4
- 1 <= k <= nums.length","Array, Queue, Sliding Window, Heap, Monotonic Stack",HARD,Use a monotonic decreasing deque that stores indices; remove elements outside the window and smaller elements from the back.
Maximum Average Subarray I,"Given an integer array nums and an integer k, find a contiguous subarray whose length is equal to k that has the maximum average value and return this value.

Input: nums = [1,12,-5,-6,50,3], k = 4
Output: 12.75

Constraints:
- n == nums.length
- 1 <= k <= n <= 10^5
- -10^4 <= nums[i] <= 10^4","Array, Sliding Window",EASY,"Compute the sum of the first k elements, then slide the window by adding the next element and subtracting the leftmost, tracking the maximum sum."
Permutation in String,"Given two strings s1 and s2, return true if s2 contains a permutation of s1.

Input: s1 = ""ab"", s2 = ""eidbaooo""
Output: true

Constraints:
- 1 <= s1.length, s2.length <= 10^4
- s1 and s2 consist of lowercase English letters","Hash Table, String, Sliding Window, Two Pointers",MEDIUM,"Maintain a fixed-size sliding window of length len(s1) over s2, comparing character frequency counts at each position."
Fruit Into Baskets,"You are visiting a farm that has a single row of fruit trees. You have two baskets and each basket can only hold one type of fruit. Return the maximum number of fruits you can pick.

Input: fruits = [1,2,1]
Output: 3

Constraints:
- 1 <= fruits.length <= 10^5
- 0 <= fruits[i] < fruits.length","Array, Hash Table, Sliding Window",MEDIUM,Use a sliding window with a hash map tracking fruit types; shrink the window from the left when more than two types are present.
Minimum Size Subarray Sum,"Given an array of positive integers nums and a positive integer target, return the minimal length of a subarray whose sum is greater than or equal to target.

Input: target = 7, nums = [2,3,1,2,4,3]
Output: 2

Constraints:
- 1 <= target <= 10^9
- 1 <= nums.length <= 10^5
- 1 <= nums[i] <= 10^4","Array, Sliding Window, Binary Search, Prefix Sum",MEDIUM,"Use a variable-size sliding window: expand right to increase the sum, shrink left when the sum meets the target, tracking the minimum length."
Longest Repeating Character Replacement,"Given a string s and an integer k, you can choose any character and change it to any other uppercase English character at most k times. Return the length of the longest substring containing the same letter.

Input: s = ""AABABBA"", k = 1
Output: 4

Constraints:
- 1 <= s.length <= 10^5
- s consists of only uppercase English letters
- 0 <= k <= s.length","Hash Table, String, Sliding Window",MEDIUM,Use a sliding window tracking character frequencies; shrink the window when (window_length - max_frequency) exceeds k.
Valid Parentheses,"Given a string s containing just the characters '(', ')', '{', '}', '[' and ']', determine if the input string is valid.

Input: s = ""()[]{}""
Output: true

Constraints:
- 1 <= s.length <= 10^4
- s consists of parentheses only","String, Stack",EASY,"Push opening brackets onto a stack; when encountering a closing bracket, check if the stack's top matches the corresponding opening bracket."
Min Stack,"Design a stack that supports push, pop, top, and retrieving the minimum element in constant time.

Input: [""MinStack"",""push"",""push"",""push"",""getMin"",""pop"",""top"",""getMin""]
Output: [null,null,null,null,-3,null,0,-2]

Constraints:
- -2^31 <= val <= 2^31 - 1
- Methods pop, top and getMin will always be called on non-empty stacks","Stack, Design",MEDIUM,"Maintain two stacks: one for values and one for tracking the current minimum, pushing onto the min stack whenever the value is less than or equal to the current minimum."
Daily Temperatures,"Given an array of integers temperatures representing daily temperatures, return an array answer such that answer[i] is the number of days you have to wait for a warmer temperature.

Input: temperatures = [73,74,75,71,69,72,76,73]
Output: [1,1,4,2,1,1,0,0]

Constraints:
- 1 <= temperatures.length <= 10^5
- 30 <= temperatures[i] <= 100","Array, Stack, Monotonic Stack",MEDIUM,"Use a monotonic decreasing stack storing indices; when a warmer temperature is found, pop and compute the distance for all cooler days on the stack."
Evaluate Reverse Polish Notation,"You are given an array of strings tokens that represents an arithmetic expression in Reverse Polish Notation. Evaluate the expression and return the result.

Input: tokens = [""2"",""1"",""+"",""3"",""*""]
Output: 9

Constraints:
- 1 <= tokens.length <= 10^4
- tokens[i] is an operator or an integer in the range [-200, 200]","Array, Math, Stack",MEDIUM,"Use a stack: push numbers onto it, and when an operator is encountered, pop two operands, apply the operation, and push the result back."
Largest Rectangle in Histogram,"Given an array of integers heights representing the histogram's bar height where the width of each bar is 1, return the area of the largest rectangle in the histogram.

Input: heights = [2,1,5,6,2,3]
Output: 10

Constraints:
- 1 <= heights.length <= 10^5
- 0 <= heights[i] <= 10^4","Array, Stack, Monotonic Stack",HARD,"Use a monotonic increasing stack of indices; when a shorter bar is found, pop and compute the area using the popped height and the width between current index and new stack top."
Next Greater Element I,"Given two distinct 0-indexed integer arrays nums1 and nums2 where nums1 is a subset of nums2, find the next greater element for each element of nums1 in nums2.

Input: nums1 = [4,1,2], nums2 = [1,3,4,2]
Output: [-1,3,-1]

Constraints:
- 1 <= nums1.length <= nums2.length <= 1000
- 0 <= nums1[i], nums2[i] <= 10^4","Array, Hash Table, Stack, Monotonic Stack",EASY,"Use a monotonic decreasing stack to find the next greater element for each value in nums2, storing results in a hash map for O(1) lookup."
Decode String,"Given an encoded string, return its decoded string. The encoding rule is: k[encoded_string], where the encoded_string inside the brackets is repeated exactly k times.

Input: s = ""3[a]2[bc]""
Output: ""aaabcbc""

Constraints:
- 1 <= s.length <= 30
- s consists of lowercase English letters, digits, and square brackets","String, Stack, Recursion",MEDIUM,"Use a stack to push current string and count when encountering an opening bracket, then pop and repeat the accumulated string when encountering a closing bracket."
Asteroid Collision,"Given an array of integers representing asteroids in a row where the absolute value represents size and the sign represents direction (positive=right, negative=left), find the state after all collisions.

Input: asteroids = [5,10,-5]
Output: [5,10]

Constraints:
- 2 <= asteroids.length <= 10^4
- -1000 <= asteroids[i] <= 1000
- asteroids[i] != 0","Array, Stack",MEDIUM,"Use a stack: push right-moving asteroids, and when a left-moving asteroid is encountered, pop and resolve collisions until the stack is empty or a larger right-moving asteroid remains."
Implement Queue using Stacks,"Implement a first in first out (FIFO) queue using only two stacks.

Input: [""MyQueue"",""push"",""push"",""peek"",""pop"",""empty""]
Output: [null,null,null,1,1,false]

Constraints:
- 1 <= x <= 9
- At most 100 calls will be made to push, pop, peek, and empty","Stack, Queue, Design",EASY,"Use two stacks: push onto one stack, and lazily transfer elements to the other stack (reversing order) only when a pop or peek is needed."
Design Circular Queue,"Design your implementation of the circular queue. It should support enQueue, deQueue, Front, Rear, isEmpty, and isFull operations.

Input: [""MyCircularQueue"",""enQueue"",""enQueue"",""enQueue"",""enQueue"",""Rear"",""isFull"",""deQueue"",""enQueue"",""Rear""]
Output: [null,true,true,true,false,3,true,true,true,4]

Constraints:
- 1 <= k <= 1000
- 0 <= value <= 1000
- At most 3000 calls","Array, Queue, Design",MEDIUM,"Use a fixed-size array with front and rear pointers, using modulo arithmetic to wrap around and a count variable to track fullness."
Number of Recent Calls,"Write a class that counts the number of recent requests within a certain time frame. Implement the ping method that returns the number of requests in the past 3000 milliseconds.

Input: [""RecentCounter"",""ping"",""ping"",""ping"",""ping""]
[[],[1],[100],[3001],[3002]]
Output: [null,1,2,3,3]

Constraints:
- 1 <= t <= 10^9
- Each test case will call ping with strictly increasing values of t","Queue, Design",EASY,Use a queue to store timestamps; dequeue elements older than t - 3000 and return the queue size.
Reverse Linked List,"Given the head of a singly linked list, reverse the list and return the reversed list.

Input: head = [1,2,3,4,5]
Output: [5,4,3,2,1]

Constraints:
- The number of nodes in the list is in the range [0, 5000]
- -5000 <= Node.val <= 5000","Linked List, Recursion",EASY,"Use three pointers (prev, current, next): save next, point current to prev, advance prev and current until the end."
Merge Two Sorted Lists,"You are given the heads of two sorted linked lists. Merge the two lists into one sorted list by splicing together the nodes.

Input: list1 = [1,2,4], list2 = [1,3,4]
Output: [1,1,2,3,4,4]

Constraints:
- The number of nodes in both lists is in the range [0, 50]
- -100 <= Node.val <= 100","Linked List, Recursion",EASY,"Use a dummy head node, compare values from both lists, and append the smaller node to the result while advancing that list's pointer."
Linked List Cycle,"Given head of a linked list, determine if it has a cycle. A cycle exists if some node can be reached again by continuously following the next pointer.

Input: head = [3,2,0,-4], pos = 1
Output: true

Constraints:
- The number of nodes is in the range [0, 10^4]
- -10^5 <= Node.val <= 10^5","Hash Table, Linked List, Two Pointers",EASY,"Use Floyd's cycle detection with slow and fast pointers: slow moves one step, fast moves two steps; if they meet, a cycle exists."
Remove Nth Node From End of List,"Given the head of a linked list, remove the nth node from the end of the list and return its head.

Input: head = [1,2,3,4,5], n = 2
Output: [1,2,3,5]

Constraints:
- The number of nodes in the list is sz
- 1 <= sz <= 30
- 1 <= n <= sz","Linked List, Two Pointers",MEDIUM,"Use two pointers with a gap of n between them; when the fast pointer reaches the end, the slow pointer is at the node before the one to remove."
Add Two Numbers,"Given two non-empty linked lists representing two non-negative integers stored in reverse order, add the two numbers and return the sum as a linked list.

Input: l1 = [2,4,3], l2 = [5,6,4]
Output: [7,0,8] (342 + 465 = 807)

Constraints:
- The number of nodes in each list is in the range [1, 100]
- 0 <= Node.val <= 9","Linked List, Math, Recursion",MEDIUM,"Traverse both lists simultaneously, adding corresponding digits with a carry variable, creating new nodes for each digit of the result."
Palindrome Linked List,"Given the head of a singly linked list, return true if it is a palindrome.

Input: head = [1,2,2,1]
Output: true

Constraints:
- The number of nodes in the list is in the range [1, 10^5]
- 0 <= Node.val <= 9","Linked List, Two Pointers, Stack, Recursion",EASY,"Find the middle using fast and slow pointers, reverse the second half in-place, then compare both halves node by node."
Merge K Sorted Lists,"Given an array of k linked lists, each sorted in ascending order, merge all the linked lists into one sorted linked list.

Input: lists = [[1,4,5],[1,3,4],[2,6]]
Output: [1,1,2,3,4,4,5,6]

Constraints:
- k == lists.length
- 0 <= k <= 10^4
- 0 <= lists[i].length <= 500","Linked List, Heap, Divide and Conquer, Sorting",HARD,"Use a min-heap to always extract the smallest head node across all lists, pushing the next node from that list back into the heap."
LRU Cache,"Design a data structure that follows the constraints of a Least Recently Used (LRU) cache. Implement get and put operations in O(1) time.

Input: [""LRUCache"",""put"",""put"",""get"",""put"",""get"",""put"",""get"",""get"",""get""]
Output: [null,null,null,1,null,-1,null,-1,3,4]

Constraints:
- 1 <= capacity <= 3000
- 0 <= key <= 10^4
- 0 <= value <= 10^5","Hash Table, Linked List, Design",MEDIUM,Use a hash map combined with a doubly linked list: the map provides O(1) lookup while the list maintains access order for O(1) eviction.
Odd Even Linked List,"Given the head of a singly linked list, group all the nodes with odd indices together followed by the nodes with even indices.

Input: head = [1,2,3,4,5]
Output: [1,3,5,2,4]

Constraints:
- The number of nodes in the linked list is in the range [0, 10^4]
- -10^6 <= Node.val <= 10^6",Linked List,MEDIUM,"Maintain two separate chains (odd and even) using two pointers, then connect the odd chain's tail to the even chain's head."
Binary Search,"Given a sorted array of integers nums and a target value, return the index of the target if found, or -1 if not present.

Input: nums = [-1,0,3,5,9,12], target = 9
Output: 4

Constraints:
- 1 <= nums.length <= 10^4
- -10^4 < nums[i], target < 10^4
- All integers in nums are unique
- nums is sorted in ascending order","Array, Binary Search",EASY,"Maintain left and right pointers, compute mid, compare with target, and eliminate half the search space each iteration."
